Type,SKU,Name,Brand,Published,Is featured?,Visibility in catalog,Description,In stock?,Allow customer reviews?,Categories,Tags,images,Parent,Position,,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Regular Price,Sale Price,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global,Attribute 21 name,Attribute 21 value(s),Attribute 21 visible,Attribute 21 global,Attribute 22 name,Attribute 22 value(s),Attribute 22 visible,Attribute 22 global,Attribute 23 name,Attribute 23 value(s),Attribute 23 visible,Attribute 23 global,Attribute 24 name,Attribute 24 value(s),Attribute 24 visible,Attribute 24 global,Attribute 25 name,Attribute 25 value(s),Attribute 25 visible,Attribute 25 global,Attribute 26 name,Attribute 26 value(s),Attribute 26 visible,Attribute 26 global,Attribute 27 name,Attribute 27 value(s),Attribute 27 visible,Attribute 27 global,Attribute 28 name,Attribute 28 value(s),Attribute 28 visible,Attribute 28 global,Attribute 29 name,Attribute 29 value(s),Attribute 29 visible,Attribute 29 global,Attribute 30 name,Attribute 30 value(s),Attribute 30 visible,Attribute 30 global,Attribute 31 name,Attribute 31 value(s),Attribute 31 visible,Attribute 31 global,Attribute 32 name,Attribute 32 value(s),Attribute 32 visible,Attribute 32 global,Attribute 33 name,Attribute 33 value(s),Attribute 33 visible,Attribute 33 global
variable,item0001,Krevet Bali,Matis,1,0,visible,"<div aria-labelledby=""tab-title-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" id=""tab-description"" role=""tabpanel"" style=""display: block;""><div class=""electro-description clearfix""><p>Proizvod savremenog dizajna omogućava korisnicima da formiraju ambijent, koji je u skladu sa namenom prostora, željenim izrazom i savremenim trendovima. Krevet Bali poseduje funkcionalnu kutiju za posteljinu velike zapremine, jedinstveno dizajnirano uzglavlje kao i podiznu latofleks podnicu sa čeličnim ramom.<br/>Kupovinom ovakvog proizvoda kupac investira u kvalitetan komad nameštaja sa samim tim investira u svoj svakodnevni komfor i blagostanje. Krevet Bali je proizvod sa proverenom izdržljivošću napravljen od materijala koji će zadržati svoju formu i funkciju čak i nakon godina intezivne upotrebe.<br/>Što se tiče udobnosti krevet ne dolazi sa dušekom, ali njegov okvir ima letvice koje nude bolju podršku tokom sati odmora, tako da će omogućiti dodatnu udobnost vašem postojećem dušeku ili dušeku koji smo mi dizajnirali da upotpuni ovaj vrhunski proizvod.</p></div><div class=""product_meta""><span class=""sku_wrapper"">Šifra proizvoda: <span class=""sku"">-</span></span><span class=""posted_in"">Kategorija: <a href=""https://matis.rs/product-category/kreveti-i-lezajevi/francuski-lezajevi/"" rel=""tag"">Francuski ležajevi</a></span><span class=""tagged_as"">Oznake: <a href=""https://matis.rs/product-tag/bali/"" rel=""tag"">Bali</a>, <a href=""https://matis.rs/product-tag/francuski/"" rel=""tag"">francuski</a>, <a href=""https://matis.rs/product-tag/francuski-krevet/"" rel=""tag"">francuski krevet</a>, <a href=""https://matis.rs/product-tag/francuski-kreveti/"" rel=""tag"">francuski kreveti</a>, <a href=""https://matis.rs/product-tag/francuski-lezaj/"" rel=""tag"">francuski lezaj</a>, <a href=""https://matis.rs/product-tag/francuski-lezajevi/"" rel=""tag"">francuski lezajevi</a>, <a href=""https://matis.rs/product-tag/krevet/"" rel=""tag"">krevet</a>, <a href=""https://matis.rs/product-tag/kreveti/"" rel=""tag"">kreveti</a>, <a href=""https://matis.rs/product-tag/lezaj/"" rel=""tag"">lezaj</a>, <a href=""https://matis.rs/product-tag/lezajevi/"" rel=""tag"">lezajevi</a>, <a href=""https://matis.rs/product-tag/masiv/"" rel=""tag"">masiv</a>, <a href=""https://matis.rs/product-tag/matis-namestaj/"" rel=""tag"">matis namestaj</a>, <a href=""https://matis.rs/product-tag/namestaj/"" rel=""tag"">namestaj</a>, <a href=""https://matis.rs/product-tag/namestaj-matis/"" rel=""tag"">namestaj matis</a>, <a href=""https://matis.rs/product-tag/nova-linija-proizvoda/"" rel=""tag"">Nova linija proizvoda</a>, <a href=""https://matis.rs/product-tag/spavaca-soba/"" rel=""tag"">spavaca soba</a>, <a href=""https://matis.rs/product-tag/spavace-sobe/"" rel=""tag"">spavace sobe</a></span></div></div>",1,1,Kreveti i ležajevi>Francuski ležajevi,"Kreveti i ležajevi,Francuski ležajevi","https://matis.rs/wp-content/uploads/2024/05/Krevet-Bali-braon.jpg,https://matis.rs/wp-content/uploads/2024/05/Krevet-Bali-sivi.jpg,https://matis.rs/wp-content/uploads/2024/05/Krevet-Bali-braon-2.jpg",,,https://matis.rs/product/krevet-bali/,Choose Option,"brown,grey",1,1,,,Širina (cm):,196,1,1,Dužina (cm):,218,1,1,Visina (cm):,134,1,1,Visina sedišta (cm):,44,1,1,Površina za spavanje:,160×200,1,1,Dimenzija (cm):,"160×200, 180×200",1,1,Materijal konstrukcije:,"Bukva, šperploča",1,1,Kutija za posteljinu:,DA,1,1,Gasni amortizeri:,DA,1,1,Dezen:,"Braon, Sivo",1,1,Vrsta artikla:,Krevet,1,1,Proizvođač:,Matis Mebl,1,1,Nogari:,Metal,1,1,Štof karta:,DA,1,1,Broj koleta:,3,1,1,Dimenzije koleta (ŠxDxV):,"1/3: 215x94x43 cm, 2/3: 201x161x7 cm, 2/3: 202x133x17 cm",1,1,Težina koleta (kg):,101 kg,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,item0001,Krevet Bali-brown,,1,0,visible,,1,1,,,https://matis.rs/wp-content/uploads/2024/05/Krevet-Bali-braon.jpg,item-0001,0,,Choose Option,brown,1,1,"55.990,00 RSD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,item0002,Krevet Bali-grey,,1,0,visible,,1,1,,,https://matis.rs/wp-content/uploads/2024/05/Krevet-Bali-braon.jpg,item-0001,1,,Choose Option,grey,1,1,"55.990,00 RSD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable,item0003,Francuski ležaj KORLEONE (Tip C),Matis,1,0,visible,"<div aria-labelledby=""tab-title-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" id=""tab-description"" role=""tabpanel"" style=""display: block;""><div class=""electro-description clearfix""><p>Francuski ležaj Korleone je izuzetan izbor za one koji traže elegantan i praktičan krevet. Elegantan dizajn ovog kreveta će doprineti da vaša spavaća soba izgleda luksuzno i moderano.</p><p>Ispuna dušeka napravljena od džepičastog jezgra, što znači da se svaka opruga nalazi u posebnom džepu i tako nezavisno od ostalih reaguje na opterećenje. Ova tehnologija pruža izuzetno ortopedsko dejstvo i dobru ventilaciju. Presek sedišta pogledajte <a data-featherlight=""image"" href=""https://matis.rs/wp-content/uploads/2020/05/korleone-presek.jpg"">ovde</a>.</p><p>Pored elegantnog dizajna, ovaj ležaj je i veoma praktičan. Prostor za odlaganje ispod dušeka omogućava da se posteljina ili druge stvari koje su potrebne za spavanje mogu odložiti na mestu gde su lako dostupni, a da ne zauzimaju dodatni prostor u sobi.</p><p>Francuski ležaj Korleone izrađuje se u preko 30 dezena.<br/>Dostupan je u dimenzijama 140×200 i 160×200.</p></div><div class=""product_meta""><span class=""sku_wrapper"">Šifra proizvoda: <span class=""sku"">-</span></span><span class=""posted_in"">Kategorije: <a href=""https://matis.rs/product-category/ostalo/spavaca-soba-elegance-line-korleone-ambijent/"" rel=""tag"">Spavaća soba Elegance Line-Korleone – Ambijent</a>, <a href=""https://matis.rs/product-category/ostalo/spavaca-soba-korleone-elegance-ambijent/"" rel=""tag"">Spavaća soba Korleone-Elegance – Ambijent</a>, <a href=""https://matis.rs/product-category/kreveti-i-lezajevi/francuski-lezajevi/"" rel=""tag"">Francuski ležajevi</a></span><span class=""tagged_as"">Oznake: <a href=""https://matis.rs/product-tag/francuski/"" rel=""tag"">francuski</a>, <a href=""https://matis.rs/product-tag/francuski-krevet/"" rel=""tag"">francuski krevet</a>, <a href=""https://matis.rs/product-tag/francuski-kreveti/"" rel=""tag"">francuski kreveti</a>, <a href=""https://matis.rs/product-tag/francuski-lezaj/"" rel=""tag"">francuski lezaj</a>, <a href=""https://matis.rs/product-tag/francuski-lezaj-korleone/"" rel=""tag"">francuski lezaj korleone</a>, <a href=""https://matis.rs/product-tag/francuski-lezaj-korleone-tip-c/"" rel=""tag"">francuski lezaj korleone tip c</a>, <a href=""https://matis.rs/product-tag/francuski-lezajevi/"" rel=""tag"">francuski lezajevi</a>, <a href=""https://matis.rs/product-tag/korleone/"" rel=""tag"">korleone</a>, <a href=""https://matis.rs/product-tag/korleone-tip-c/"" rel=""tag"">korleone tip c</a>, <a href=""https://matis.rs/product-tag/krevet/"" rel=""tag"">krevet</a>, <a href=""https://matis.rs/product-tag/kreveti/"" rel=""tag"">kreveti</a>, <a href=""https://matis.rs/product-tag/kreveti-akcija/"" rel=""tag"">Kreveti akcija</a>, <a href=""https://matis.rs/product-tag/lezaj/"" rel=""tag"">lezaj</a>, <a href=""https://matis.rs/product-tag/lezaj-korleone/"" rel=""tag"">lezaj korleone</a>, <a href=""https://matis.rs/product-tag/lezaj-korleone-tip-c/"" rel=""tag"">lezaj korleone tip c</a>, <a href=""https://matis.rs/product-tag/lezajevi/"" rel=""tag"">lezajevi</a>, <a href=""https://matis.rs/product-tag/masiv/"" rel=""tag"">masiv</a>, <a href=""https://matis.rs/product-tag/matis/"" rel=""tag"">matis</a>, <a href=""https://matis.rs/product-tag/matis-group/"" rel=""tag"">matis group</a>, <a href=""https://matis.rs/product-tag/matis-namestaj/"" rel=""tag"">matis namestaj</a>, <a href=""https://matis.rs/product-tag/namestaj/"" rel=""tag"">namestaj</a>, <a href=""https://matis.rs/product-tag/namestaj-matis/"" rel=""tag"">namestaj matis</a>, <a href=""https://matis.rs/product-tag/spavaca-soba/"" rel=""tag"">spavaca soba</a>, <a href=""https://matis.rs/product-tag/spavace-sobe/"" rel=""tag"">spavace sobe</a>, <a href=""https://matis.rs/product-tag/tdf-boss-i-francuski-lezaj-korleone/"" rel=""tag"">TDF Boss i Francuski ležaj Korleone</a>, <a href=""https://matis.rs/product-tag/tip-c/"" rel=""tag"">tip c</a></span></div></div>",1,1,Kreveti i ležajevi>Francuski ležajevi,"Kreveti i ležajevi,Francuski ležajevi","https://matis.rs/wp-content/uploads/2018/08/Double-bed-Corleone-Type-C-I-Beige.jpg,https://matis.rs/wp-content/uploads/2018/08/Double-bed-Corleone-Type-C-II-Grey.jpg,https://matis.rs/wp-content/uploads/2020/05/korleone-presek.jpg",,,https://matis.rs/product/francuski-lezaj-korleone-tip-c/,Choose Option,"dark-beige,dark-grey",1,1,,,Širina (cm):,214,1,1,Dužina (cm):,145/165,1,1,Visina (cm):,120,1,1,Visina uzglavlja (cm):,120,1,1,Visina uznožja (cm):,42,1,1,Visina sedišta (cm):,68,1,1,Visina dušeka (cm):,26,1,1,Površina za spavanje:,160×200,1,1,Dimenzija (cm):,"140×200, 160×200",1,1,Materijal ispune:,Džepičasto jezgro,1,1,Materijal konstrukcije:,Tapacirani,1,1,Materijal naslona:,Štof,1,1,Kutija za posteljinu:,DA,1,1,Gasni amortizeri:,DA,1,1,Dezen:,"Tamno bež, Tamno sivo",1,1,Vrsta artikla:,Krevet,1,1,Proizvođač:,Matis Mebl,1,1,Nogari:,Puno drvo,1,1,Štof karta:,DA,1,1,Broj koleta:,2,1,1,Težina koleta (kg):,117 kg,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,item0003,Francuski ležaj KORLEONE (Tip C)-dark-beige,,1,0,visible,,1,1,,,https://matis.rs/wp-content/uploads/2018/08/Double-bed-Corleone-Type-C-I-Beige.jpg,item-0003,0,,Choose Option,dark-beige,1,1,"73.390,00 RSD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,item0004,Francuski ležaj KORLEONE (Tip C)-dark-grey,,1,0,visible,,1,1,,,https://matis.rs/wp-content/uploads/2018/08/Double-bed-Corleone-Type-C-I-Beige.jpg,item-0003,1,,Choose Option,dark-grey,1,1,"73.390,00 RSD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable,item0005,Francuski ležaj HUGO Tip 2,Matis,1,0,visible,"<div aria-labelledby=""tab-title-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" id=""tab-description"" role=""tabpanel"" style=""display: block;""><div class=""electro-description clearfix""><p>Francuski ležaj Hugo predstavlja elegantno i praktično rešenje za vašu spavaću sobu. Njegov dizajn osigurava da će se dopasti svačijem ukusu.</p><p>Ispuna od džepičastog jezgra koja osigurava optimalnu podršku i udobnost vašem telu. Tehnologija džepičastog jezgra podrazumijeva da se svaka opruga nalazi u posebnom džepu i reaguje nezavisno od drugih, što znači da se prilagođava potrebama i obliku vašeg tijela. Ova tehnologija pruža izuzetno ortopedsko dejstvo i omogućava dobru ventilaciju dušeka. Presek dušeka možete pogledati <a data-featherlight=""image"" href=""https://matis.rs/wp-content/uploads/2021/02/lezaj-hugo-presek-jpg-scaled.jpg"">ovde</a>.</p><p>Praktičan prostor za odlaganje ispod dušeka omogućiće da se posteljina ili druge potrebne stvari za spavanje mogu odložiti na mestu gde su lako dostupne, bez zauzimanja dodatnog prostora u sobi.<br/>Francuski ležaj Hugo dostupan je u preko 30 dezena, što znači da možete pronaći onaj koji najviše odgovara vašem stilu i ukusu.<br/>Ležaj je dostupan u dimenzijama 140×200 i 160×200.</p></div><div class=""product_meta""><span class=""sku_wrapper"">Šifra proizvoda: <span class=""sku"">-</span></span><span class=""posted_in"">Kategorije: <a href=""https://matis.rs/product-category/kreveti-i-lezajevi/francuski-lezajevi/"" rel=""tag"">Francuski ležajevi</a>, <a href=""https://matis.rs/product-category/ostalo/spavaca-soba-elegance-line-hugo-pesak-ambijent/"" rel=""tag"">Spavaća soba Hugo pesak - Elegance - Ambijent</a></span><span class=""tagged_as"">Oznake: <a href=""https://matis.rs/product-tag/francuski/"" rel=""tag"">francuski</a>, <a href=""https://matis.rs/product-tag/francuski-krevet/"" rel=""tag"">francuski krevet</a>, <a href=""https://matis.rs/product-tag/francuski-kreveti/"" rel=""tag"">francuski kreveti</a>, <a href=""https://matis.rs/product-tag/francuski-lezaj/"" rel=""tag"">francuski lezaj</a>, <a href=""https://matis.rs/product-tag/francuski-lezaj-hugo/"" rel=""tag"">Francuski ležaj Hugo</a>, <a href=""https://matis.rs/product-tag/francuski-lezajevi/"" rel=""tag"">francuski lezajevi</a>, <a href=""https://matis.rs/product-tag/francuski-lezajevi-akcija/"" rel=""tag"">Francuski ležajevi akcija</a>, <a href=""https://matis.rs/product-tag/hugo/"" rel=""tag"">Hugo</a>, <a href=""https://matis.rs/product-tag/hugo-francuski-lezaj/"" rel=""tag"">hugo francuski lezaj</a>, <a href=""https://matis.rs/product-tag/hugo-lezaj/"" rel=""tag"">hugo lezaj</a>, <a href=""https://matis.rs/product-tag/krevet/"" rel=""tag"">krevet</a>, <a href=""https://matis.rs/product-tag/kreveti/"" rel=""tag"">kreveti</a>, <a href=""https://matis.rs/product-tag/lezaj/"" rel=""tag"">lezaj</a>, <a href=""https://matis.rs/product-tag/lezaj-hugo/"" rel=""tag"">lezaj hugo</a>, <a href=""https://matis.rs/product-tag/lezajevi/"" rel=""tag"">lezajevi</a>, <a href=""https://matis.rs/product-tag/matis/"" rel=""tag"">matis</a>, <a href=""https://matis.rs/product-tag/matis-group/"" rel=""tag"">matis group</a>, <a href=""https://matis.rs/product-tag/matis-mebl/"" rel=""tag"">matis mebl</a>, <a href=""https://matis.rs/product-tag/matis-namestaj/"" rel=""tag"">matis namestaj</a>, <a href=""https://matis.rs/product-tag/namestaj/"" rel=""tag"">namestaj</a>, <a href=""https://matis.rs/product-tag/namestaj-matis/"" rel=""tag"">namestaj matis</a>, <a href=""https://matis.rs/product-tag/spavaca-soba/"" rel=""tag"">spavaca soba</a>, <a href=""https://matis.rs/product-tag/spavace-sobe/"" rel=""tag"">spavace sobe</a></span></div></div>",1,1,Kreveti i ležajevi>Francuski ležajevi,"Kreveti i ležajevi,Francuski ležajevi","https://matis.rs/wp-content/uploads/2020/11/francuski-lezaj-hugo-tirkiz-1.jpg,https://matis.rs/wp-content/uploads/2020/11/francuski-lezaj-hugo-pesak-1.jpg,https://matis.rs/wp-content/uploads/2020/11/francuski-lezaj-hugo-tip-2.jpg,https://matis.rs/wp-content/uploads/2023/06/Fortuna-snezni-hrast-render.jpg",,,https://matis.rs/product/francuski-lezaj-hugo-2/,Choose Option,"hugo-pesak,hugo-sivo,hugo-tirkiz",1,1,,,Širina (cm):,211,1,1,Dužina (cm):,164,1,1,Visina (cm):,125,1,1,Visina uzglavlja (cm):,164,1,1,Visina uznožja (cm):,34,1,1,Visina sedišta (cm):,60,1,1,Visina dušeka (cm):,26,1,1,Površina za spavanje:,160×200,1,1,Dimenzija (cm):,"140×200, 160×200",1,1,Materijal ispune:,Džepičasto jezgro,1,1,Materijal konstrukcije:,Tapacirani,1,1,Materijal naslona:,Štof,1,1,Kutija za posteljinu:,DA,1,1,Gasni amortizeri:,DA,1,1,Dezen:,"Hugo – Pesak, Hugo – Sivo, Hugo – Tirkiz",1,1,Vrsta artikla:,Krevet,1,1,Proizvođač:,Matis Mebl,1,1,Štof karta:,DA,1,1,Broj koleta:,2,1,1,Dimenzije koleta (ŠxDxV):,"1/2: 202x162x28 cm, 2/2: 202x84x93 cm",1,1,Težina koleta (kg):,116 kg,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,item0005,Francuski ležaj HUGO Tip 2-hugo-pesak,,1,0,visible,,1,1,,,https://matis.rs/wp-content/uploads/2020/11/francuski-lezaj-hugo-tirkiz-1.jpg,item-0005,0,,Choose Option,hugo-pesak,1,1,"77.990,00 RSD ","66.292,00 RSD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,item0006,Francuski ležaj HUGO Tip 2-hugo-sivo,,1,0,visible,,1,1,,,https://matis.rs/wp-content/uploads/2020/11/francuski-lezaj-hugo-tirkiz-1.jpg,item-0005,1,,Choose Option,hugo-sivo,1,1,"77.990,00 RSD ","66.292,00 RSD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,item0007,Francuski ležaj HUGO Tip 2-hugo-tirkiz,,1,0,visible,,1,1,,,https://matis.rs/wp-content/uploads/2020/11/francuski-lezaj-hugo-tirkiz-1.jpg,item-0005,2,,Choose Option,hugo-tirkiz,1,1,"77.990,00 RSD ","66.292,00 RSD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable,item0008,Ležaj Eden,Matis,1,0,visible,"<div aria-labelledby=""tab-title-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" id=""tab-description"" role=""tabpanel"" style=""display: block;""><div class=""electro-description clearfix""><p>Ležaj EDEN odlikuje lep dizajn, odličan kvalitet izrade i primenjenih materijala i visok nivo udobnosti za spavanje. U pitanju je unikatan, praktičan komad nameštaja, koji se lako uklapa u postojeći enterijer. Ležaj Eden je proizveden imajući na umu praktičnost i estetiku, nudeći kupcima kombinaciju modernog dizajna, vrhunskog kvaliteta i besprekornog stila. Ležaj Eden karakteriše visoka udobnost za spavanje i funkcionalna kutija za posteljinu velike zapremine. Proizvod savremenog dizajna omogućava korisnicima da formiraju ambijent, koji je u skladu sa namenom prostora, željenim izrazom i savremenim trendovima.</p></div><div class=""product_meta""><span class=""sku_wrapper"">Šifra proizvoda: <span class=""sku"">-</span></span><span class=""posted_in"">Kategorije: <a href=""https://matis.rs/product-category/kreveti-i-lezajevi/francuski-lezajevi/"" rel=""tag"">Francuski ležajevi</a>, <a href=""https://matis.rs/product-category/novi-export/"" rel=""tag"">Novi Export</a></span><span class=""tagged_as"">Oznake: <a href=""https://matis.rs/product-tag/francuski/"" rel=""tag"">francuski</a>, <a href=""https://matis.rs/product-tag/francuski-krevet/"" rel=""tag"">francuski krevet</a>, <a href=""https://matis.rs/product-tag/francuski-kreveti/"" rel=""tag"">francuski kreveti</a>, <a href=""https://matis.rs/product-tag/francuski-lezaj/"" rel=""tag"">francuski lezaj</a>, <a href=""https://matis.rs/product-tag/francuski-lezaj-korleone/"" rel=""tag"">francuski lezaj korleone</a>, <a href=""https://matis.rs/product-tag/francuski-lezajevi/"" rel=""tag"">francuski lezajevi</a>, <a href=""https://matis.rs/product-tag/krevet/"" rel=""tag"">krevet</a>, <a href=""https://matis.rs/product-tag/kreveti/"" rel=""tag"">kreveti</a>, <a href=""https://matis.rs/product-tag/lezaj/"" rel=""tag"">lezaj</a>, <a href=""https://matis.rs/product-tag/lezajevi/"" rel=""tag"">lezajevi</a>, <a href=""https://matis.rs/product-tag/masiv/"" rel=""tag"">masiv</a>, <a href=""https://matis.rs/product-tag/matis/"" rel=""tag"">matis</a>, <a href=""https://matis.rs/product-tag/matis-group/"" rel=""tag"">matis group</a>, <a href=""https://matis.rs/product-tag/matis-namestaj/"" rel=""tag"">matis namestaj</a>, <a href=""https://matis.rs/product-tag/namestaj/"" rel=""tag"">namestaj</a>, <a href=""https://matis.rs/product-tag/namestaj-matis/"" rel=""tag"">namestaj matis</a>, <a href=""https://matis.rs/product-tag/spavaca-soba/"" rel=""tag"">spavaca soba</a>, <a href=""https://matis.rs/product-tag/spavace-sobe/"" rel=""tag"">spavace sobe</a></span></div></div>",1,1,Kreveti i ležajevi>Francuski ležajevi,"Kreveti i ležajevi,Francuski ležajevi","https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Bez.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Sivo.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Konjak.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-bez-2.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Sivo-2.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Konjak-2.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Bez-4.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Sivo-4.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Konjak-4.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Bez-3.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Sivo-3.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Konjak-3.jpg,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Preske-ispuna.jpg,https://matis.rs/wp-content/uploads/2023/10/eden-sajt.jpg",,,https://matis.rs/product/lezaj-eden/,Choose Option,"beige,cognac,grey",1,1,,,Širina (cm):,184,1,1,Dužina (cm):,220,1,1,Visina (cm):,131,1,1,Visina uzglavlja (cm):,131,1,1,Visina sedišta (cm):,68,1,1,Površina za spavanje:,160×200,1,1,Dimenzija (cm):,"140×200, 160×200",1,1,Materijal konstrukcije:,"Puno drvo, šper i iverica",1,1,Materijal naslona:,Štof,1,1,Kutija za posteljinu:,DA,1,1,Gasni amortizeri:,DA,1,1,Nogari:,Metal,1,1,Dezen:,"Bež, Konjak, Sivo",1,1,Štof karta:,DA,1,1,Vrsta artikla:,Francuski ležaj,1,1,Proizvođač:,Matis Mebl,1,1,Broj koleta:,3,1,1,Dimenzije koleta (ŠxDxV):,"1/3: 202x162x28 cm, 2/3: 202x86x58 cm, 3/3: 186x19x133 cm",1,1,Težina koleta (kg):,137 kg,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,item0008,Ležaj Eden-beige,,1,0,visible,,1,1,,,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Bez.jpg,item-0008,0,,Choose Option,beige,1,1,"79.990,00 RSD ","71.991,00 RSD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variation,item0009,Ležaj Eden-cognac,,1,0,visible,,1,1,,,https://matis.rs/wp-content/uploads/2023/10/Lezaj-Eden-Bez.jpg,item-0008,1,,Choose Option,cognac,1,1,"79.990,00 RSD ","71.991,00 RSD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
